ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
11-1,31/03/23 05:36,https://twitter.com/KanekiK55255289/status/1257822549548732419,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Marcos Richest Japan,@KanekiK55255289,Ken,Sick of those dumb fucks!,Anonymous,05/20,0,2,,"Sabi ng Prof namin during Marcos's Regime, ang Pilipinas ang 2nd richest country in Asia at ang nangunguna ay Japan. Siguro kung nakinig ka alam mo yan! Nag start lamang ang  Economic downfall ng Pilipinas nung si Cory na ang pumalit na presidente.",,"Text, Reply",06/05/20 08:00,https://drive.google.com/file/d/17-oITId_TsJAxrTaPFU1wcjGc9W1ziAw/view?usp=share_link,Emotional,0,1,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Account has no location,,
11-2,29/03/23 02:07:47,https://twitter.com/asensopinoy/status/1112655100311425024,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,"@asensopinoy
",werlindo serencio,,Identified,05/09,132,40,Philippines,"During Marcos time Philippines is one of the richest Asian country next to Japan. https://youtube.com/attribution_link?a=UOnBhuOZ9r0&u=%2Fwatch%3Fv%3Dg81rddVTx4M%26feature%3Dshare 

{Alt-Video URL: Title of YouTube video is ★★★★★ Meralco Saved by President Marcos ✌ ✌ ✌ ✌ ✌}",,"Text, URL",01/04/19 17:57,https://drive.google.com/file/d/17usWkZkppuLf-fLvdnReODxdOPCgJmrc/view?usp=share_link,Rational,0,0,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Name looks like a real name 

Account has no bio",,
11-3,29/03/23 02:19:16,https://twitter.com/SerratoThea/status/1105446358691926016,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@SerratoThea,𝒯𝒾𝓃𝓀𝑒𝓇 💫,Future Doc. Serrato 🩺,Identified,07/18,251,382,Kazuha,"Marcos' years as president was marked the ""golden age"" of Ph economy. Philippines was asia's rising tiger, the second richest country in Asia next to Japan, Number 1 in the world when it comes to rice and sugar exporting and the Philippine peso was equal to a US dollar",,"Text, Reply",12/03/19 20:32,https://drive.google.com/file/d/1PrB7jGdkZSq_2COdYeKT-4n2JWPpi8nd/view?usp=share_link,Rational,0,1,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Location is a fake location 

Tweet is part of a thread",,
11-4,29/03/23 02:28:23,https://twitter.com/arneeelll/status/1104616073196822529,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@arneeelll,Arneell,"Paki-follow: 
@arneeeellll
 (new acc)
marunong ako mag-follow back",Identified,03/19,19,34,,"If I stole money from the people why is the Philippines the richest country next to Japan during my regimen?
-Pres. Ferdinand Marcos

{Alt-text image: image of Ferdinand Marcos Sr. with a Philippine Flag background}",,"Text, Image",10/03/19 13:32,https://drive.google.com/file/d/1M_ZuG8YqrfnTTlS0g2qgLBQHyK9-zpxv/view?usp=share_link,Emotional,1,0,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Account looks like a Personal Account which appears to have the user's real name

Account has no Location

",,
11-5,29/03/23 02:35:08,https://twitter.com/nOneiann/status/1203781467454595072,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@nOneiann,Jinjin,umay,Anonymous,10/18,467,249,japan 3rd floor dapit sa sun,"Bruh in Marcos' time, the Philippines was the richest country in Southeast Asia. Don't talk about the million dollar loan from the world bank because Aquino's loan was actually bigger than Marcos' loan.",,"Text, Reply",09/12/19 05:00,https://drive.google.com/file/d/1QLeNIwz1MmyzAs91_pvb9Vw9VSDb7L7c/view?usp=share_link,Emotional,2,0,0,0,,,"During Marcos' term as president, the Philippines' ranking in Southeast Asia in terms of GDP went from 2nd to 3rd, while the GDP per capita ranking dropped from 3rd to 5th place.

[https://www.rappler.com/newsbreak/fact-check/239789-philippines-richest-country-asia-marcos-years/]","Location looks satirical

Account appears to be a Personal Account",,
11-6,31/03/23 05:29:30,https://twitter.com/AteEms13/status/1297297825135394818,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Next Marcos Japan,@AteEms13,"Ate Ems
","A SENIOR CITIZEN
",Anonymous,05/20,60,12,"Kadingilan, Northern Mindanao","how did ex pres marcos made our country progressived and  even richer next to japan in his regime,..if he was a thief and corrupt..",,"Text, Reply",23/08/20 06:21,https://drive.google.com/file/d/1Omd5iWQe4UjXsfdg_FiEwCXS3YvwAWEk/view?usp=share_link,Emotional,0,0,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-7,29/03/23 02:52:15,https://twitter.com/SirEA08/status/1263074979123326976,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@SirEA08,"Sir EA
","Support Me
Youtube Channel Sir EA
Facebook Page Sir EA

My content is all about education

Thanks ❤",Identified,05/20,28,1,,"MARCOS GOLD | TRUE STORY | PHILIPPINES IS THE RICHEST COUNTRY IN THE WORLD

{Alt-Video URL: Title of YouTube video is MARCOS GOLD | TRUE STORY | PHILIPPINES IS THE RICHEST COUNTRY IN THE WORLD}",,"Text, URL",20/05/20 19:51,https://drive.google.com/file/d/1t00XKo3bhfv9929v1r6GW23nYZAGfdQE/view?usp=share_link,Transactional,0,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. We are also 30th worldwide when Marcos was ousted.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Account has no location specified

Account appears to be a real account with evidence such as the video posted being posted by said account (Also has 600k+ view)

Account posted a video he uploaded in YouTube which I think counts as self-promotion thus its Transactional",,
11-8,29/03/23 02:57:27,https://twitter.com/GreatMindsCo1/status/1252465826709426177,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@GreatMindsCo1,Ophir Ω,"Glitch in the matrix ☀️ 

Building 7 figure brands",Anonymous,05/12,539,1841,Lifting Iron at the gym ,"Marcos regime 1 is to 1 ang dollar. 1970-1986 Philippines richest country in the world, second from japan. 1986 onwards gipulihan ug housewife nga Cory Aquino. 20 years after. Bagsak ang pinas islands being sold, lands being stolen just to fill their own pockets",,Text,21/04/20 13:14,https://drive.google.com/file/d/14TBhj6URVPmaR9V3J_ZJAh7djv2h3qis/view?usp=share_link,Emotional,4,0,1,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita and was only 30th worldwide when Marcos was ousted.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Location seems fake,,
11-9,29/03/23 03:07:31,https://twitter.com/jake_finesse137/status/1236112265713045509,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@jake_finesse137,♠️ʝǟʏ_քօᏦɛʀ♣️,"half pinoy, half filipino and I'm proud of it...",Identified,11/18,52,57,Agartha,"While in the other hand, Corie is the who turn the lakes of Manila into junk, stole Millions of Pesos, make the filipino's poor and. What so eva... During the presidwncy of Marcos, Philippines is one of the richest country in Asia, even the world.",,"Text, Reply",07/03/20 10:11,https://drive.google.com/file/d/1P_5-qPy5MBtJBxUFrKTAxFQi-cOp8iuI/view?usp=share_link,Emotional,0,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. We are also 30th worldwide when Marcos was ousted.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Location seems fake,,
11-10,29/03/23 03:12:43,https://twitter.com/iamshoberamos/status/1330399421062803457,11,"Bonuan, Juan Antonio",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@iamshoberamos,Shobe Seo Ramos (Koryana),He/Him 🏳️‍🌈 • Asian • Pisces | Books • KDrama | Sports • Random,Anonymous,05/13,867,1928,Seoul,errors of the government? bakit hindi tayo mgbalik tanaw sa panahon ni Pnoy at ni Cory? Sa panahon ni Marcos Philippines is the second richest country in Asia tapos nung umupo si Cory naging 3rd World country.,,"Text, Reply",22/11/20 14:35,https://drive.google.com/file/d/1UxVWf3gCMLeIKYi6n6g6YmUrnfK_Sdve/view?usp=share_link,Emotional,7,2,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
